RG494g,RG224g,RG737g,RG987g
28.75,19.44,35.16,40.85
28.72,19.35,35.29,40.97
28.84,19.47,35.21,40.75
28.72,19.53,35.27,40.85
29.00,19.44,35.23,40.85
28.78,19.50,35.27,40.74
28.87,19.43,35.25,40.86
28.78,19.47,35.36,40.85
28.73,19.57,35.27,40.90
28.72,19.47,35.27,40.68
28.84,19.47,35.41,40.79
29.07,19.43,35.42,40.73
28.78,19.40,35.14,40.73
29.00,19.59,35.47,40.61
28.97,19.53,35.21,40.79
28.72,19.63,35.46,40.67
29.00,19.54,35.40,40.36
29.06,19.53,35.27,40.73
29.04,19.49,35.48,40.80
29.00,19.56,35.48,40.72
